title,press,time,url
"스피어 ""계열사 더스페셜메탈스 주식 70억원에 추가 취득""","SBS Biz","2026.04.20 16:28","https://n.news.naver.com/mnews/article/374/0000505513"
"스피어코퍼레이션, 하나에어로와 장기 독점 계약 체결","이데일리","2026.04.17 08:43","https://n.news.naver.com/mnews/article/018/0006259117"
"스피어코퍼레이션, 트리스와 2039년까지 우주항공 특수합금 독점 공급....","머니투데이","2026.04.16 11:37","https://n.news.naver.com/mnews/article/008/0005345096"
"스피어코퍼레이션, 트리스와 장기 독점계약 체결…""글로벌 공급망 통.....","이데일리","2026.04.16 08:39","https://n.news.naver.com/mnews/article/018/0006258224"
"[애프터마켓 브리핑] 코스피, 30거래일만에 장중 6000 재돌파","SBS Biz","2026.04.14 16:35","https://n.news.naver.com/mnews/article/374/0000504360"
"[증시 인사이트] 국내증시 동반 상승 마감…코스피 6000선 회복","SBS Biz","2026.04.14 16:34","https://n.news.naver.com/mnews/article/374/0000504359"
"채비·코스모로보틱스 수요예측…공모주 청약·추가 상장 이어져 [이...","서울경제","2026.04.13 06:31","https://n.news.naver.com/mnews/article/011/0004609919"
"스페이스X 때문에 난리 났네…상장 임박에 선점 경쟁 ‘후끈’","매경이코노미","2026.04.12 11:06","https://n.news.naver.com/mnews/article/024/0000104744"
"'세기의 IPO' 스페이스X 상장 앞두고 ETF 경쟁 후끈","뉴시스","2026.04.12 08:00","https://n.news.naver.com/mnews/article/003/0013881994"
"[특징주]넥스트바이오메디컬, '넥스피어에프' 日 진출 소식에 9%↑","아시아경제","2026.04.10 09:27","https://n.news.naver.com/mnews/article/277/0005747589"
