title,press,time,url
"고영, 어닝서프라이즈에 '上'…바이젠셀·툴젠도 상승세[바이오맥짚기...","이데일리","2026.04.28 08:03","https://n.news.naver.com/mnews/article/018/0006267961"
"코스닥서 반도체 소부장 담는 외국인…주가도 '훨훨'","이데일리","2026.04.27 16:34","https://n.news.naver.com/mnews/article/018/0006267731"
"‘반도체·소부장’의 힘…코스닥, 25년여만에 최고치 찍었다","세계일보","2026.04.24 19:10","https://n.news.naver.com/mnews/article/022/0004123507"
"조용히 달린 코스닥, 25년 만에 1200선 뚫어…""소부장·바이오의 ...","뉴스1","2026.04.24 17:51","https://n.news.naver.com/mnews/article/421/0008910656"
"[속보] 코스닥지수 1200선 돌파 마감…‘닷컴버블’ 이후 약 25년 ...","서울경제","2026.04.24 15:42","https://n.news.naver.com/mnews/article/011/0004614392"
"고영테크놀러지 1분기 매출 727억원…전년 대비 42% 증가","전자신문","2026.04.23 17:16","https://n.news.naver.com/mnews/article/030/0003421187"
"고영테크놀러지, ‘AI 훈풍’에 깜짝 실적…1분기 매출 ""역대 최대""","한국경제","2026.04.23 16:24","https://n.news.naver.com/mnews/article/015/0005278847"
"고영 1분기 영업이익 99억원…작년동기 대비 209.1%↑","연합뉴스","2026.04.23 15:57","https://n.news.naver.com/mnews/article/001/0016039348"
"“반도체주 단기 소강상태 진입할 것…낙수효과 기대 업종은”","이데일리","2026.04.22 07:49","https://n.news.naver.com/mnews/article/018/0006263068"
"고영, AI로봇 주력…배당성향 20% 목표","블로터","2026.04.20 16:20","https://n.news.naver.com/mnews/article/293/0000083080"
