title,press,time,link,summary
"주간 수익률 1위 '코스피', 숨 고르기 돌입?…""추세 이탈 없다""",머니투데이,2026-05-03 11:33,https://n.news.naver.com/mnews/article/008/0005352406,"코스피가 주요국 증시 가운데 주간 수익률 1위를 기록하며 고공행진을 이어갔지만, 고유가·고금리 부담과 중동발 지정학적 리스크 확대로 5월 초 단..."
“1분기 대박났다”…코스피 상장사 3곳 중 1곳 ‘어닝 서프라이즈’,매일경제,2026-05-03 11:20,https://n.news.naver.com/mnews/article/009/0005674612,코스피 상장사 절반 이상 전망치 상회 반도체·건설 업종 주축 ‘깜짝 실적’ 견인 1Q 이익 16조 초과 달성…“추가 기록 기대” 올 1분기 실적...
“예금은 아쉽고 주식은 부담”…매달 ‘초과 청약’ 개인용 국채 뭐길래 [캥거루족 탈출기⑯],매일경제,2026-05-03 11:10,https://n.news.naver.com/mnews/article/009/0005674608,"금리 방향성이 불확실한 요즘, 은행 예금만으로는 수익이 아쉽다고 느끼는 투자자들의 자금이 개인투자용 국채로 향하고 있다. 국가가 원금을 보장하는..."
"워런 버핏 “요즘 초단기 투자, 투기도 아닌 도박”…“주식판 카지노 됐다” 지적",매일경제,2026-05-03 11:01,https://n.news.naver.com/mnews/article/009/0005674607,‘투자의 구루(스승)’로 불리는 워런 버핏(95) 버크셔 해서웨이 회장이 최근의 금융투자 흐름에 대해 “도박 열풍이 정점에 달했다”고 비판했다....
칠천피 목전에도 IPO 시장은 냉기…올해 신규 상장 ‘반토막’ [마켓시그널],서울경제,2026-05-03 10:30,https://n.news.naver.com/mnews/article/011/0004616912,"코스피가 중동발 긴장 속에서도 7000선 돌파를 눈앞에 두고 있지만, 기업공개(IPO) 시장은 상대적으로 한산한 분위기가 이어지고 있다. 올해 ..."
시총 6000조 시대 개막한 K-증시…삼성전자 ‘40만닉스’ 가나,서울경제,2026-05-03 10:16,https://n.news.naver.com/mnews/article/011/0004616910,삼성전자 주가가 연일 고공행진을 벌이며 시가총액 1000조 원 시대를 향해 달려가고 있다. 3일 금융투자업계에 따르면 삼성전자는 반도체 실적 개선...
뛰는 개미 위에 나는 외국인…불장 속 수익률 격차 ‘3배’ [이런국장 저런주식],서울경제,2026-05-03 09:58,https://n.news.naver.com/mnews/article/011/0004616898,코스피가 연일 신고가를 경신하는 가운데 외국인 투자자와 개인 투자자의 수익률 격차가 갈수록 벌어지고 있다. 외국인은 반도체와 자동차 등 실적주를...
"“K철강 주주입니다, 이제 봄인가요”…사흘간 66% 올랐다는데 [이주의 Bull기둥]",매일경제,2026-05-03 09:10,https://n.news.naver.com/mnews/article/009/0005674577,철강주들이 오랜 침체를 깨고 반등의 기지개를 켜고 있다. 중국의 경기 부양책 기대감과 원자재 가격 안정세가 맞물리며 철강 업계에 훈풍이 불고...
“7000피 시대도 가시권”…삼전·닉스 실적 훈풍에 개미들 ‘환호’,매일경제,2026-05-03 09:06,https://n.news.naver.com/mnews/article/009/0005674575,코스피 지수가 7000선 돌파를 눈앞에 두면서 투자자들의 기대감이 최고조에 달하고 있다. 특히 시가총액 상위 종목인 삼성전자와 SK하이닉스가...
1분기 실적시즌 반환점…상장사 3곳 중 2곳 ‘어닝 서프라이즈’,연합뉴스,2026-05-03 08:30,https://n.news.naver.com/mnews/article/001/0014667890,"올해 1분기 실적을 발표한 코스피 상장사 3곳 중 2곳이 시장의 기대치를 뛰어넘는 실적을 거둔 것으로 나타났다. 특히 반도체와 자동차, 전력기기..."
코스피 신고가 랠리에도 1~4월 신규 상장 ‘반토막’,연합뉴스,2026-05-03 08:15,https://n.news.naver.com/mnews/article/001/0014667885,증시 활황에도 불구하고 올해 1∼4월 신규 상장 기업 수는 지난해 같은 기간의 절반 수준에 그친 것으로 집계됐다. 대형 IPO 대어들이 상장...
"코스피, 단기 급등 후 '숨 고르기' 들어갈까…이번주 금통위 변수",한국경제,2026-05-03 08:01,https://n.news.naver.com/mnews/article/015/0004980001,이번 주 국내 증시는 단기 급등에 따른 피로감 속에 숨 고르기 장세가 펼쳐질 것으로 전망된다. 오는 23일로 예정된 한국은행 금융통화위원회의...
올해 들어 10대그룹 시총 1천500조 '쑥'…삼성·현대차 견인,연합뉴스,2026-05-03 07:45,https://n.news.naver.com/mnews/article/001/0014667850,국내 10대 그룹의 시가총액이 올해 들어서만 1500조 원 넘게 불어난 것으로 나타났다. 삼성그룹과 현대차그룹이 주가 상승을 견인하며 전체...
[마켓인사이트] 노동절 연휴에도 해외주식 열풍…서학개미 선택은?,한국경제,2026-05-03 07:10,https://n.news.naver.com/mnews/article/015/0004979990,노동절 연휴 기간 국내 증시가 휴장했음에도 불구하고 해외 주식을 향한 투자자들의 열기는 식지 않았다. 특히 미국 기술주와 반도체 ETF를...
코스피 7000선 초읽기…‘셀 인 메이’ 격언 흔들리나 [선데이 머니카페],서울경제,2026-05-03 06:31,https://n.news.naver.com/mnews/article/011/0004616866,지난달 코스피가 중동발 긴장 속에서도 상승 흐름을 이어가며 이달 7000선 돌파 기대를 키우고 있습니다. 외국인 자금 유입과 기업 실적 개선이...
